start,end,length,column,desc
213,213,1,offender7_ethnicity,"The ethnicity of offender 7, if applicable"
214,215,2,offender7_weapon,"The weapon of offender 7, if applicable"
216,217,2,offender7_relationship,"The relationship of offender 7, if applicable"
218,219,2,offender7_circumstance,"The circumstance of offender 7, if applicable"
220,220,1,offender7_subcircumstance,"The subcircumstance of offender 7, if applicable"
221,222,2,offender8_age,"The age of offender 8, if applicable"
223,223,1,offender8_sex,"The sex of offender 8, if applicable"
224,224,1,offender8_race,"The race of offender 8, if applicable"
225,225,1,offender8_ethnicity,"The ethnicity of offender 8, if applicable"
226,227,2,offender8_weapon,"The weapon of offender 8, if applicable"
228,229,2,offender8_relationship,"The relationship of offender 8, if applicable"
230,231,2,offender8_circumstance,"The circumstance of offender 8, if applicable"
232,232,1,offender8_subcircumstance,"The subcircumstance of offender 8, if applicable"
233,234,2,offender9_age,"The age of offender 9, if applicable"
235,235,1,offender9_sex,"The sex of offender 9, if applicable"
236,236,1,offender9_race,"The race of offender 9, if applicable"
237,237,1,offender9_ethnicity,"The ethnicity of offender 9, if applicable"
238,239,2,offender9_weapon,"The weapon of offender 9, if applicable"
240,241,2,offender9_relationship,"The relationship of offender 9, if applicable"
242,243,2,offender9_circumstance,"The circumstance of offender 9, if applicable"
244,244,1,offender9_subcircumstance,"The subcircumstance of offender 9, if applicable"
245,246,2,offender10_age,"The age of offender 10, if applicable"
247,247,1,offender10_sex,"The sex of offender 10, if applicable"
248,248,1,offender10_race,"The race of offender 10, if applicable"
249,249,1,offender10_ethnicity,"The ethnicity of offender 10, if applicable"
250,251,2,offender10_weapon,"The weapon of offender 10, if applicable"
252,253,2,offender10_relationship,"The relationship of offender 10, if applicable"
254,255,2,offender10_circumstance,"The circumstance of offender 10, if applicable"
256,256,1,offender10_subcircumstance,"The subcircumstance of offender 10, if applicable"
257,258,2,offender11_age,"The age of offender 11, if applicable"
259,259,1,offender11_sex,"The sex of offender 11, if applicable"
260,260,1,offender11_race,"The race of offender 11, if applicable"
261,261,1,offender11_ethnicity,"The ethnicity of offender 11, if applicable"
262,263,2,offender11_weapon,"The weapon of offender 11, if applicable"
264,265,2,offender11_relationship,"The relationship of offender 11, if applicable"
266,267,2,offender11_circumstance,"The circumstance of offender 11, if applicable"
268,268,1,offender11_subcircumstance,"The subcircumstance of offender 11, if applicable"
