,ori,ncic_agency_name,state_abbr,city_name
88,AL0013200,TANNEHILL IRONWORKS H SP,AL,MCCALLA
89,AL0013400,JEFFERSON STATE COMM COL,AL,BIRMINGHAM
90,AL001359E,NORFOLK SOUTHERN RAILWAY,AL,
91,AL0014000,,AL,BIRMINGHAM
92,AL001419E,SAMFORD UNIVERSITY,AL,
93,AL0014500,FIRE AND EXPLOSION INVEST UNIT TRUSSVILLE FIRE,AL,TRUSSVILLE
94,AL0020000,MOBILE CO SO MOBILE,AL,MOBILE
95,AL0020100,MOBILE PD,AL,MOBILE
96,AL0020200,PRICHARD PD,AL,PRICHARD
97,AL0020300,CHICKASAW PD,AL,CHICKASAW
98,AL0020400,CITRONELLE PD,AL,CITRONELLE
99,AL0020500,SARALAND PD,AL,SARALAND
100,AL0020600,BAYOU LA BATRE PD,AL,BAYOU LA BATRE
101,AL0020700,SATSUMA PD,AL,SATSUMA
102,AL0020800,MT VERNON PD,AL,MOUNT VERNON
103,AL0020900,WILMER PD,AL,WILMER
104,AL0021200,CREOLA PD,AL,CREOLA
105,AL0021300,,AL,MOBILE
106,AL0021400,UNIVERSITY OF S AL PD MOBILE,AL,MOBILE
107,AL0021500,DAUPHIN ISLAND PD DAUPHIN ISLAND,AL,DAUPHIN ISLAND
108,AL0021700,BISHOP STATE COMMUNITY C,AL,MOBILE
109,AL0030000,MONTGOMERY CO SO MONTGOMERY,AL,MONTGOMERY
110,AL0030100,MONTGOMERY PD,AL,MONTGOMERY
111,AL0030300,ST CONSERVATION DEPT MARINE PD DIV MONTGOMERY,AL,MONTGOMERY
112,AL0030400,AL ALCOHOL BEV CONT BD LAW ENFOR DIV MONTGOMERY,AL,MONTGOMERY
113,AL0030500,AL MENTAL HLTH BUREAU OF SPECIAL INVESTIGATIONS,AL,MONTGOMERY
114,AL0030600,AL STATE UNIVERSITY POLICE DEPT MONTGOMERY,AL,MONTGOMERY
115,AL0030700,AUBURN UNIVERSITY CAMPUS POLICE MONTGOMERY,AL,MONTGOMERY
116,AL0030800,AL PUBLIC SERVICE COMM ENFORCEMT DIV MONTGOMERY,AL,MONTGOMERY
117,AL0031000,AL FORESTRY CMSN LE SECT,AL,MONTGOMERY
118,AL0031300,STATE CAPITOL POLICE MONTGOMERY,AL,MONTGOMERY
119,AL0031400,STATE FIRE MARSHAL,AL,MONTGOMERY
120,AL0031800,LIQUEFIED PETROLEUM GAS BOARD,AL,
121,AL0031900,HOUSING AUTHORITY INVESTIGATIVE UNIT MONTGOMERY,AL,MONTGOMERY
122,AL0032000,AL CRIM JUS INF C INV UN,AL,MONTGOMERY
123,AL0032200,TRENHOLM CAMPUS POLICE DEPARTMENT,AL,MONTGOMERY
124,AL0032500,"DEPT OF CONSERVATION, MONTGOMERY",AL,
125,AL0032600,"DEPARTMENT OF PUBLIC SAFETY, MONTGOMERY",AL,
126,AL0033200,,AL,
127,AL003FA00,FAULKNER UNIVERSITY,AL,MONTGOMERY
128,AL0040000,AUTAUGA CO SO PRATTVILLE,AL,PRATTVILLE
129,AL0040100,PRATTVILLE PD,AL,PRATTVILLE
130,AL0040200,AUTAUGAVILLE PD,AL,AUTAUGAVILLE
131,AL0050000,BALDWIN CO SO BAY MINETTE,AL,BAY MINETTE
132,AL0050100,BAY MINETTE PD,AL,BAY MINETTE
133,AL0050200,FAIRHOPE PD,AL,FAIRHOPE
134,AL0050300,FOLEY PD,AL,FOLEY
135,AL0050400,GULF SHORES PD,AL,GULF SHORES
136,AL0050500,ROBERTSDALE PD,AL,ROBERTSDALE
137,AL0050600,LOXLEY PD,AL,LOXLEY
138,AL0050700,SILVERHILL PD,AL,SILVERHILL
139,AL0050800,DAPHNE PD,AL,DAPHNE
140,AL0050900,SUMMERDALE PD,AL,SUMMERDALE
141,AL0051000,ELBERTA PD,AL,ELBERTA
142,AL0051100,FAULKNER STATE COMMUNITY COLLEGE,AL,BAY MINETTE
143,AL0051200,ORANGE BEACH PD,AL,ORANGE BEACH
144,AL0051300,SPANISH FORT POLICE DEPARTMENT,AL,SPANISH FORT
145,AL0060000,BARBOUR CO SO CLAYTON,AL,CLAYTON
146,AL0060100,EUFAULA PD,AL,EUFAULA
147,AL0060200,CLAYTON PD,AL,CLAYTON
148,AL0060300,CLIO PD,AL,CLIO
149,AL0060400,LOUISVILLE PD,AL,LOUISVILLE
150,AL0060700,BAKER HILL POLICE DEPARTMENT,AL,EUFAULA
151,AL0070000,BIBB CO SO CENTREVILLE,AL,CENTREVILLE
152,AL0070100,CENTREVILLE PD,AL,CENTREVILLE
153,AL0070200,BRENT PD,AL,BRENT
154,AL0070300,WEST BLOCTON PD,AL,WEST BLOCTON
155,AL0070400,WOODSTOCK POLICE DEPARTMENT,AL,WOODSTOCK
156,AL0080000,BLOUNT CO SO ONEONTA,AL,ONEONTA
157,AL0080100,ONEONTA PD,AL,ONEONTA
158,AL0080200,BLOUNTSVILLE PD,AL,BLOUNTSVILLE
159,AL0080300,CLEVELAND PD,AL,CLEVELAND
160,AL0080400,SNEAD PD,AL,SNEAD
161,AL0080500,HIGHLAND LAKE PD,AL,ONEONITA
162,AL0080800,,AL,
163,AL0090000,BULLOCK CO SO UNION SPRINGS,AL,UNION SPRINGS
164,AL0090100,UNION SPRINGS PD,AL,UNION SPRINGS
165,AL0100000,BUTLER CO SO GREENVILLE,AL,GREENVILLE
166,AL0100100,GREENVILLE PD,AL,GREENVILLE
167,AL0100200,GEORGIANA PD,AL,GEORGIANA
168,AL0100300,MCKENZIE PD,AL,MCKENZIE
169,AL0110000,CALHOUN CO SO ANNISTON,AL,ANNISTON
170,AL0110100,ANNISTON PD,AL,ANNISTON
171,AL0110200,JACKSONVILLE PD,AL,JACKSONVILLE
172,AL0110300,PIEDMONT PD,AL,PIEDMONT
173,AL0110400,WEAVER PD,AL,WEAVER
174,AL0110500,OXFORD PD,AL,OXFORD
175,AL0110600,HOBSON CITY PD ANNISTON,AL,HOBSON CITY
176,AL0110700,OHATCHEE PD,AL,OHATCHEE
177,AL0110800,JACKSONVILLE ST UNIV CAMPUS PD JACKSONVILLE,AL,JACKSONVILLE
178,AL0120000,CHAMBERS CO SO LAFAYETTE,AL,LAFAYETTE
179,AL0120100,LAFAYETTE PD,AL,LAFAYETTE
180,AL0120200,LANETT PD,AL,LANETT
181,AL0120400,VALLEY PD FAIRFAX,AL,VALLEY
182,AL0130000,CHEROKEE CO SO CENTRE,AL,CENTRE
183,AL0130100,CENTRE PD,AL,CENTRE
184,AL0130200,CEDAR BLUFF PD,AL,CEDAR BLUFF
185,AL0130300,LEESBURG PD,AL,LEESBURG
186,AL0140000,CHILTON CO SO CLANTON,AL,CLANTON
187,AL0140100,CLANTON PD,AL,CLANTON
188,AL0140200,MAPLESVILLE PD,AL,MAPLESVILLE
189,AL0140300,JEMISON PD,AL,JEMISON
190,AL0140400,THORSBY PD,AL,THORSBY
191,AL0150000,CHOCTAW CO SO BUTLER,AL,BUTLER
192,AL0150100,BUTLER PD,AL,BUTLER
193,AL0150200,GILBERTOWN PD,AL,GILBERTOWN
194,AL0150300,PENNINGTON PD,AL,PENNINGTON
195,AL0150400,SILAS PD,AL,SILAS
196,AL0150500,TOXEY POLICE DEPARTMENT,AL,TOXEY
197,AL0160000,CLARKE CO SO GROVE HILL,AL,GROVE HILL
198,AL0160100,JACKSON PD,AL,JACKSON
199,AL0160200,THOMASVILLE PD,AL,THOMASVILLE
200,AL0160300,GROVE HILL PD,AL,GROVE HILL
201,AL0160400,FULTON PD,AL,FULTON
202,AL0160600,COFFEEVILLE PD COFFEEVILLE,AL,COFFEEVILLE
203,AL0170000,CLAY CO SO ASHLAND,AL,ASHLAND
204,AL0170100,ASHLAND PD,AL,ASHLAND
205,AL0170200,LINEVILLE PD,AL,LINEVILLE
206,AL0180000,CLEBURNE CO SO HEFLIN,AL,HEFLIN
207,AL0180100,HEFLIN PD,AL,HEFLIN
208,AL0180200,RANBURNE PD,AL,RANBURNE
209,AL0190000,COFFEE CO SO ENTERPRISE,AL,NEW BROCKTON
210,AL0190100,ELBA PD,AL,ELBA
211,AL0190200,ENTERPRISE PD,AL,ENTERPRISE
212,AL0190300,NEW BROCKTON PD,AL,NEW BROCKTON
213,AL0190400,KINSTON PD,AL,KINSTON
214,AL0190500,ENTERPRISE ST JR COLL CAMPUS PD ENTERPRISE,AL,ENTERPRISE
215,AL0200000,COLBERT CO SO TUSCUMBIA,AL,TUSCUMBIA
216,AL0200100,SHEFFIELD PD,AL,SHEFFIELD
217,AL0200200,TUSCUMBIA PD,AL,TUSCUMBIA
218,AL0200300,MUSCLE SHOALS PD,AL,MUSCLE SHOALS
219,AL0200400,CHEROKEE PD,AL,CHEROKEE
220,AL0200500,LEIGHTON PD,AL,LEIGHTON
221,AL0200600,LITTLEVILLE PD RUSSELLVILLE,AL,LITTLEVILLE
222,AL0200800,NORTHWEST-SHOALS COMM CO,AL,MUSCLE SHOALS
223,AL0210000,CONECUH CO SO EVERGREEN,AL,EVERGREEN
224,AL0210100,EVERGREEN PD,AL,EVERGREEN
225,AL0210200,CASTLEBERRY,AL,CASTLEBERRY
226,AL0210300,REPTON,AL,REPTON
227,AL0220000,COOSA CO SO ROCKFORD,AL,ROCKFORD
228,AL0220100,GOODWATER PD,AL,GOODWATER
229,AL0220200,ROCKFORD PD,AL,ROCKFORD
230,AL0230000,COVINGTON CO SO ANDALUSIA,AL,ANDALUSIA
231,AL0230100,ANDALUSIA PD,AL,ANDALUSIA
232,AL0230200,OPP PD,AL,OPP
233,AL0230300,FLORALA PD,AL,FLORALA
234,AL0230400,GANTT PD,AL,GANTT
235,AL0230500,RED LEVEL PD,AL,RED LEVEL
236,AL0230600,LOCKHART PD,AL,LOCKHART
237,AL0230700,RIVER FALLS,AL,RIVER FALLS
238,AL0230800,22ND JUDICIAL CIRCUIT DRUG TASK FORCE,AL,ANDALUSIA
239,AL0240000,CRENSHAW CO SO LUVERNE,AL,LUVERNE
240,AL0240100,LUVERNE PD,AL,LUVERNE
241,AL0240200,BRANTLEY PD,AL,BRANTLEY
242,AL0240300,DOZIER PD,AL,DOZIER
243,AL0240400,GLENWOOD,AL,GLENWOOD
244,AL0250000,CULLMAN CO SO CULLMAN,AL,CULLMAN
245,AL0250100,CULLMAN PD,AL,CULLMAN
246,AL0250200,HANCEVILLE PD,AL,HANCEVILLE
247,AL0250300,GARDEN CITY PD,AL,GARDEN CITY
248,AL0250400,GOOD HOPE POLICE DEPARTMENT CULLMAN,AL,CULLMAN
249,AL0250500,,AL,HANCEVILLE
250,AL0260000,DALE CO SO OZARK,AL,OZARK
251,AL0260100,OZARK PD,AL,OZARK
252,AL0260200,DALEVILLE PD,AL,DALEVILLE
253,AL0260300,LEVEL PLAINS PD DALEVILLE,AL,DALEVILLE
254,AL0260400,NAPIER FIELD PD,AL,DOTHAN
255,AL0260500,NEWTON PD,AL,NEWTON
256,AL0260600,MIDLAND CITY PD,AL,MIDLAND CITY
257,AL0260700,PINKARD PD,AL,PINCKARD
258,AL0260800,ARITON PD,AL,ARITON
259,AL0260900,CLAYHATCHEE PD DALEVILLE,AL,DALEVILLE
260,AL0270000,DALLAS CO SO SELMA,AL,SELMA
261,AL0270100,SELMA PD,AL,SELMA
262,AL0270200,WALLACE COMM COL: SELMA,AL,SELMA
263,AL0280000,DE KALB CO SO FORT PAYNE,AL,FORT PAYNE
264,AL0280100,FORT PAYNE PD,AL,FORT PAYNE
265,AL0280200,COLLINSVILLE PD,AL,COLLINSVILLE
266,AL0280300,GERALDINE PD,AL,GERALDINE
267,AL0280400,HENAGAR PD,AL,HENAGAR
268,AL0280500,POWELL PD POWELL,AL,FIFFE
269,AL0280600,MENTONE PD,AL,MENTONE
270,AL0280700,RAINSVILLE PD,AL,RAINSVILLE
271,AL0280800,HAMMONDVILLE PD VALLEY HEAD,AL,VALLEY HEAD
272,AL0281000,CROSSVILLE PD,AL,CROSSVILLE
273,AL0281100,FYFFE PD,AL,FYFFE
274,AL0281200,SYLVANIA PD,AL,SYLVANIA
275,AL0281300,VALLEY HEAD PD,AL,VALLEY HEAD
276,AL0281400,IDER PD,AL,IDER
277,AL0290000,ELMORE CO SO WETUMPKA,AL,WETUMPKA
278,AL0290100,WETUMPKA PD,AL,WETUMPKA
279,AL0290200,TALLASSEE DEPARTMENT OF PUBLIC SAFETY,AL,TALLASSEE
280,AL0290300,ECLECTIC PD,AL,ECLECTIC
281,AL0290400,COOSADA PD,AL,COOSADA
282,AL0290600,MILLBROOK PD,AL,MILLBROOK
283,AL0290700,CENTRAL AL DRUG TASK FOR,AL,ELMORE
284,AL0300000,ESCAMBIA CO SO BREWTON,AL,BREWTON
285,AL0300100,ATMORE PD,AL,ATMORE
286,AL0300200,BREWTON PD,AL,BREWTON
287,AL0300300,EAST BREWTON PD,AL,EAST BREWTON
288,AL0300400,FLOMATON PD,AL,FLOMATON
289,AL0310000,ETOWAH CO SO GADSDEN,AL,GADSDEN
290,AL0310100,ATTALLA PD,AL,ATTALLA
291,AL0310200,GADSDEN PD,AL,GADSDEN
292,AL0310300,GLENCOE,AL,
293,AL0310400,GLENCOE PD,AL,GLENCOE
294,AL0310500,RAINBOW CITY PD RAINBOW CITY,AL,RAINBOW CITY
295,AL0310600,HOKES BLUFF PD,AL,HOKES BLUFF
296,AL0310700,SOUTHSIDE PD SOUTHSIDE,AL,SOUTHSIDE
297,AL0310800,SARDIS CITY PD SARDIS CITY,AL,BOAZ
298,AL0310900,ALTOONA PD,AL,ALTOONA
299,AL0311000,WALNUT GROVE,AL,WALNUT GROVE
300,AL0312200,ETOWAH CTY DRG ENFRCMT U,AL,ETOWAH
301,AL0320000,FAYETTE CO SO FAYETTE,AL,FAYETTE
302,AL0320100,FAYETTE PD,AL,FAYETTE
303,AL0320200,BERRY PD,AL,BERRY
304,AL0330000,FRANKLIN CO SO RUSSELLVILLE,AL,RUSSELLVILLE
305,AL0330100,RUSSELLVILLE PD,AL,RUSSELLVILLE
306,AL0330200,PHIL CAMPBELL PD,AL,PHIL CAMPBELL
307,AL0330300,RED BAY PD,AL,RED BAY
308,AL0330400,VINA PD,AL,VINA
309,AL0330500,HODGES,AL,HODGES
310,AL0340000,GENEVA CO SO GENEVA,AL,GENEVA
311,AL0340100,GENEVA PD,AL,GENEVA
312,AL0340200,SAMSON PD,AL,SAMSON
313,AL0340300,HARTFORD PD,AL,HARTFORD
314,AL0340400,SLOCOMB PD,AL,SLOCOMB
315,AL0340500,COFFEE SPRINGS PD,AL,COFFEE SPRINGS
316,AL0350000,GREENE CO SO EUTAW,AL,EUTAW
317,AL0350100,EUTAW PD,AL,EUTAW
318,AL0350200,FORKLAND PD,AL,FORKLAND
319,AL0360000,HALE CO SO GREENSBORO,AL,GREENSBORO
320,AL0360100,GREENSBORO PD,AL,GREENSBORO
321,AL0360200,MOUNDVILLE PD,AL,MOUNDVILLE
322,AL0370000,HENRY CO SO ABBEVILLE,AL,ABBEVILLE
323,AL0370100,ABBEVILLE PD,AL,ABBEVILLE
324,AL0370200,HEADLAND PD,AL,HEADLAND
325,AL0370300,NEWVILLE PD,AL,NEWVILLE
326,AL0380000,HOUSTON CO SO DOTHAN,AL,DOTHAN
327,AL0380100,DOTHAN PD,AL,DOTHAN
328,AL0380200,ASHFORD PD,AL,ASHFORD
329,AL0380300,GORDON PD,AL,GORDON
330,AL0380400,COLUMBIA PD,AL,COLUMBIA
331,AL0380500,COTTONWOOD PD,AL,COTTONWOOD
332,AL0380600,KINSEY PD,AL,KINSEY
333,AL0380700,,AL,
334,AL0380800,WALLACE ST COMM COLL CAMPUS POLICE DEPT DOTHAN,AL,DOTHAN
335,AL0380900,TAYLOR POLICE DEPARTMENT TAYLOR,AL,TAYLOR
336,AL0381000,WEBB POLICE DEPARTMENT,AL,WEBB
337,AL0390000,JACKSON CO SO SCOTTSBORO,AL,SCOTTSBORO
338,AL0390100,SCOTTSBORO PD,AL,SCOTTSBORO
339,AL0390200,BRIDGEPORT PD,AL,BRIDGEPORT
340,AL0390300,STEVENSON PD,AL,STEVENSON
341,AL0390400,HOLLYWOOD PD,AL,HOLLYWOOD
342,AL0390500,PISGAH PD,AL,PISGAH
343,AL0390600,DUTTON PD,AL,DUTTON
344,AL0390700,SECTION PD,AL,SECTION
345,AL0390800,WOODVILLE PD WOODVILLE,AL,WOODVILLE
346,AL0390900,SKYLINE PD SCOTTSBORO,AL,SCOTTSBORO
347,AL0400000,LAMAR CO SO VERNON,AL,VERNON
348,AL0400100,SULLIGENT PD,AL,SULLIGENT
349,AL0400200,VERNON PD,AL,VERNON
350,AL0400300,KENNEDY PD,AL,KENNEDY
351,AL0400400,MILLPORT PD,AL,MILLPORT
352,AL0410000,LAUDERDALE CO SO FLORENCE,AL,FLORENCE
353,AL0410100,FLORENCE PD,AL,FLORENCE
354,AL0410200,WATERLOO PD,AL,WATERLOO
355,AL0410300,ANDERSON,AL,ANDERSON
356,AL0410400,ST FLORIAN PD FLORENCE,AL,FLORENCE
357,AL0410500,LEXINGTON PD,AL,LEXINGTON
358,AL0410600,ROGERSVILLE PD,AL,ROGERSVILLE
359,AL0410700,KILLEN PD,AL,KILLEN
360,AL0410800,UNIV OF NORTH ALABAMA PD FLORENCE,AL,FLORENCE
361,AL0420000,LAWRENCE CO SO MOULTON,AL,MOULTON
362,AL0420100,MOULTON PD,AL,MOULTON
363,AL0420200,TOWN CREEK PD,AL,TOWN CREEK
364,AL0420300,COURTLAND PD,AL,COURTLAND
365,AL0420400,HILLSBORO PD,AL,HILLSBORO
366,AL0420500,NORTH COURTLAND PD NORTH COURTLNAD,AL,NORTH COURTLAND
367,AL0420600,LAWRENCE CNTY DRG & VCTF,AL,MOULTON
368,AL0430000,LEE CO SO OPELIKA,AL,OPELIKA
369,AL0430100,AUBURN PD,AL,AUBURN
370,AL0430200,OPELIKA PD,AL,OPELIKA
371,AL0430300,AUBURN UNIV DEPT OF PUB SAFETY & SECURITY,AL,AUBURN
372,AL0440000,LIMESTONE,AL,ATHENS
373,AL0440100,ATHENS PD,AL,ATHENS
374,AL0440200,ARDMORE PD,AL,ARDMORE
375,AL0440300,ELKMONT PD,AL,ELKMONT
376,AL0450000,SO HAYNEVILLE,AL,HAYNEVILLE
377,AL0450100,FORT DEPOSIT PD,AL,FORT DEPOSIT
378,AL0450200,HAYNEVILLE PD,AL,HAYNEVILLE
379,AL0450400,MOSSES POLICE DEPARTMENT,AL,HAYNEVILLE
380,AL0450500,WHITE HALL,AL,LOWNDESBORO
381,AL0450700,2ND JUD CIRC DRUG TASK FRC LOWNDES CO SO DEPT,AL,HAYNEVILLE
382,AL0460000,MACON CO SO TUSKEGEE,AL,TUSKEGEE
383,AL0460100,TUSKEGEE PD,AL,TUSKEGEE
384,AL0460200,NOTASULGA PD,AL,NOTASULGA
385,AL0460400,,AL,
386,AL0460600,SHORTER POLICE DEPARTMENT SHORTER,AL,SHORTER
387,AL0460700,TUSKEGEE UNIVERSITY,AL,TUSKEGEE INSTITUTE
388,AL0470000,MADISON CO SO HUNTSVILLE,AL,HUNTSVILLE
389,AL0470100,HUNTSVILLE POLICE DEPARTMENT,AL,HUNTSVILLE
390,AL0470200,MADISON PD,AL,MADISON
391,AL0470300,GURLEY PD,AL,GURLEY
392,AL0470400,NEW HOPE PD,AL,NEW HOPE
393,AL0470500,OWENS CROSS ROADS RD,AL,OWENS CROSSROADS
394,AL0470600,TRIANA PD MADISON,AL,MADISON
395,AL0470700,UNIV OF ALABAMA PD HUNTSVILLE,AL,HUNTSVILLE
396,AL0470800,AL AGRIC MECHANIC UNIV PD NORMAL,AL,NORMAL
397,AL0470900,HUNTSVILLE INTNTL ARPRT AUTH PD HUNTSVILLE,AL,HUNTSVILLE
398,AL0471100,MADISON MORGAN COUNTY HIDTA STAC,AL,HUNTSVILLE
399,AL0480000,MARENGO CO SO LINDEN,AL,LINDEN
400,AL0480100,DEMOPOLIS PD,AL,DEMOPOLIS
401,AL0480200,LINDEN PD,AL,LINDEN
402,AL0480300,THOMASTON PD,AL,THOMASTON
403,AL0480400,FAUNSDALE PD,AL,FAUNSDALE
404,AL0480500,MYRTLEWOOD PD,AL,MYRTLEWOOD
405,AL0480600,SWEET WATER,AL,SWEET WATER
406,AL0480700,17TH JUDICIAL CIRCUIT DRUG TASK FORCE,AL,DEMOPOLIS
407,AL0490000,MARION CO SO HAMILTON,AL,HAMILTON
408,AL0490100,HAMILTON PD,AL,HAMILTON
409,AL0490200,WINFIELD PD,AL,WINFIELD
410,AL0490300,GUIN PD,AL,GUIN
411,AL0490400,HACKLEBURG PD,AL,HACKLEBURG
412,AL0490500,BRILLIANT PD,AL,BRILLIANT
413,AL0490600,WESTON PD,AL,HAMILTON
414,AL0490700,BEAR CREEK PD,AL,BEAR CREEK
415,AL0490800,MARION CNTY DRUG TASK FO,AL,HAMILTON
416,AL0500000,MARSHALL CO SO GUNTERSVILLE,AL,GUNTERSVILLE
417,AL0500100,ALBERTVILLE PD,AL,ALBERTVILLE
418,AL0500200,GUNTERSVILLE PD,AL,GUNTERSVILLE
419,AL0500300,ARAB PD,AL,ARAB
420,AL0500400,BOAZ PD,AL,BOAZ
421,AL0500500,GRANT PD,AL,GRANT
422,AL0500600,DOUGLAS PD,AL,DOUGLAS
423,AL0500800,MARSHALL COUNTY DRUG ENFORCEMENT UNIT,AL,GUNTERSVILLE
424,AL0510000,MONROE CO SO MONROEVILLE,AL,MONROEVILLE
425,AL0510100,MONROEVILLE PD,AL,MONROEVILLE
426,AL0510200,FRISCO CITY PD,AL,FRISCO CITY
427,AL0510300,BEATRICE POLICE DEPARTMENT,AL,BEATRICE
428,AL0510400,EXCEL PD,AL,EXCEL
429,AL0520000,MORGAN CO SO DECATUR,AL,SOMERVILLE
430,AL0520100,DECATUR PD,AL,DECATUR
431,AL0520200,HARTSELLE PD,AL,HARTSELLE
432,AL0520400,FALKVILLE PD,AL,FALKVILLE
433,AL0520500,FLINT PD DECATUR,AL,DECATUR
434,AL0520600,SOMERVILLE PD,AL,SOMERVILLE
435,AL0520700,TRINITY PD,AL,TRINITY
436,AL0520900,PRICEVILLE PD DECATUR,AL,DECATUR
437,AL052119E,CALHOUN COMMUNITY COLLEGE CAMPUS POLICE,AL,
438,AL0530000,PERRY CO SO MARION,AL,MARION
